name,neighborhood_name,number_singles,number_doubles,description,number_bathrooms,number_washers
Garfield,Wood,27,7,"Garfield House boasts a beautiful library with fire place, a nice kitchen, singles and doubles, and overall nice living space.  In the nice weather, Garfield’s spacious south lawn is great for barbecues, pick-up soccer games, or lying in the sun. In the winter, the hill up to the house is a great spot for sledding.   Garfield is located on South Street near Agard, Wood, and the Center for Development Economics.",3,2
Gladden,Wood,83,3,"Gladden is a part of the Greylock Quad.  Gladden rooms boast huge windows that look over the quad, towards the Williamstown Town Hall, and north towards the mountains. Residents will find small singles arranged into suites with common rooms, and a beautiful updated kitchen.  Gladden is close to the ’62 Center for Theatre and Dance, and has an easy-access path that leads to the Paresky Student Center.",17,3
Perry,Wood,14,8,"Perry House is comprised of singles and doubles, and has a beautiful library that’s great for studying and resting.  A grand staircase takes you to the upstairs rooms.  The house has an inner room known as the Goat Room, which is used as a party and fancy dinner space.  Perry is located on Main Street near Wood House and the Greylock Quad.",5,2
Wood,Wood,22,4,"Wood House is comprised of singles and doubles.  Two nice living rooms inhabit the first floor, as well as a back study, and a kitchen. The basement has a common space used for parties and recreation space. Wood is located on the corner of Main Street and South Street, and is close to the ’62 Center for Theatre and Dance, Perry House, Garfield House, and the Greylock Quad.",5,1
Currier,Currier,55,6,"Currier House is the home of the famed Currier Ballroom, one of the nicest programming spaces on campus, featuring rich wood paneling, high ceilings, and a piano. The Ballroom is a great space for classy social events and has hosted many Cap-and-Bells productions, balls, costume parties, and classy dinners. Currier has both singles and doubles. Very tall students can actually stand in the fireplace in one of the larger double rooms adjacent to the ballroom, which also has a curious stone head affixed to the mantelpiece. Currier has a feel of “lived-in charm and days-gone-by.” Bluestone stairs showing years of foot erosion from former students take you to the upper floors with rooms arranged in suite-like style and curved common rooms at each end. Basement rooms boast high ceilings and French windows and doors. A small kitchen on the basement floor can be used for modest food prep.",7,2
East,Currier,19,21,"East College, named for its obvious geographical location opposite West College, was built in 1842.  East has both singles and doubles, and has a nice common room on the first floor with a kitchen.",6,2
Fayerweather,Currier,25,23,"Fayerweather, or as it’s affectionately called “Fay,” is very similar in structure to East College. It was, in fact, called South College until 1905, when rags-to-riches Daniel Fayerweather’s long-argued will helped to pay for renovations. Fayerweather has singles and doubles, and a large common room and kitchen in the basement.  Fayerweather is used to house approved international students during Winter Break.",6,4
Fitch,Currier,28,8,"Fitch is comprised of singles and doubles. The basement has a nice-sized kitchen and common area.  Rooms have wood floors and, if you’re lucky enough to get on the 2nd or 3rd floor, you’ll have beautiful views of the quad and the surrounding purple mountains.",9,2
Prospect,Currier,104,0,"Prospect House is comprised of single rooms on horizontal hallways, and most rooms have great views south towards the purple mountains and the football field, or north into the quad. Each floor has a good common room, and the basement common room is spacious with comfy couches, tables for studying, and mood-setting track lighting. Prospect boasts one of the nicest kitchens on campus!  The basement also has a pool table and vending machines.",14,3
Chadbourne,Co-op,11,1,"Chadbourne is a Co-op; Co-ops are small residences where seniors live in small groups, providing students with a more independent living experience; however the houses are close enough to campus to provide connections to the rest of the community.",14,1
Doughty,Co-op,11,0,"Doughty is a Co-op; Co-ops are small residences where seniors live in small groups, providing students with a more independent living experience; however the houses are close enough to campus to provide connections to the rest of the community.",-1,1
Lambert,Co-op,8,0,"Lambert is a Co-op; Co-ops are small residences where seniors live in small groups, providing students with a more independent living experience; however the houses are close enough to campus to provide connections to the rest of the community.",-1,1
Milham,Co-op,9,0,"Milham is a Co-op; Co-ops are small residences where seniors live in small groups, providing students with a more independent living experience; however the houses are close enough to campus to provide connections to the rest of the community.",-1,1
Poker Flats,Co-op,36,0,"Poker Flats is a Co-op, comprised of six apartments housing six students each.  Co-ops are small residences where seniors live in small groups, providing students with a more independent living experience; however the houses are close enough to campus to provide connections to the rest of the community.",-1,2
Susie Hopkins,Co-op,9,0,"Susan Hopkins (better known as Susie Hopkins) is a Co-op.  Co-ops are small residences where seniors live in small groups, providing students with a more independent living experience; however the houses are close enough to campus to provide connections to the rest of the community.",-1,1
Woodbridge,Co-op,11,2,"Woodbridge is a Co-op; Co-ops are small residences where seniors live in small groups, providing students with a more independent living experience; however the houses are close enough to campus to provide connections to the rest of the community.",-1,1
Frosh Quad,First-year,100,106,Unavailable,-1,8
Mission Park,First-year,298,8,Unavailable,-1,5
